"Year","Sex","Age","model","seroconversions","Person-years","Incidence","lb","ub"
"Women",2016,"35-49","glmfit",12,2687,0.45,0.25,0.79
"Women",2016,"35-49","gamfit",12,2687,0.58,0.46,0.73
"Women",2017,"15-24","glmfit",7,2065,0.34,0.16,0.71
"Women",2017,"15-24","gamfit",7,2065,0.64,0.47,0.87
"Women",2017,"25-34","gamfit",20,2633,0.76,0.61,0.96
"Women",2017,"25-34","glmfit",20,2633,0.76,0.49,1.18
"Women",2017,"35-49","glmfit",16,2831,0.57,0.35,0.92
"Women",2017,"35-49","gamfit",16,2831,0.51,0.39,0.67
"Women",2019,"15-24","glmfit",9,1999,0.45,0.23,0.87
"Women",2019,"15-24","gamfit",9,1999,0.45,0.28,0.72
"Women",2019,"25-34","glmfit",13,2690,0.48,0.28,0.83
"Women",2019,"25-34","gamfit",13,2690,0.65,0.47,0.88
"Women",2019,"35-49","glmfit",16,3405,0.47,0.29,0.77
"Women",2019,"35-49","gamfit",16,3405,0.45,0.32,0.65
"Women",2000,"15-24","glmfit",16,1057,1.51,0.93,2.47
"Women",2000,"15-24","gamfit",16,1057,1.57,1.09,2.27
"Women",2000,"25-34","glmfit",6,699,0.86,0.39,1.91
"Women",2000,"25-34","gamfit",6,699,1.35,0.94,1.94
"Women",2000,"35-49","glmfit",5,620,0.81,0.34,1.94
"Women",2000,"35-49","gamfit",5,620,0.81,0.48,1.36
"Women",2001,"15-24","gamfit",24,1489,1.6,1.26,2.04
"Women",2001,"15-24","glmfit",24,1489,1.61,1.08,2.4
"Women",2001,"25-34","glmfit",19,1177,1.61,1.03,2.53
"Women",2001,"25-34","gamfit",19,1177,1.41,1.08,1.84
"Women",2001,"35-49","gamfit",7,915,0.84,0.57,1.24
"Women",2001,"35-49","glmfit",7,915,0.76,0.36,1.6
"Women",2003,"15-24","glmfit",25,1570,1.59,1.08,2.36
"Women",2003,"15-24","gamfit",25,1570,1.62,1.31,2
"Women",2003,"25-34","glmfit",15,1373,1.09,0.66,1.81
"Women",2003,"25-34","gamfit",15,1373,1.46,1.19,1.79
"Women",2003,"35-49","glmfit",8,924,0.87,0.43,1.73
"Women",2003,"35-49","gamfit",8,924,0.87,0.65,1.18
