"Sex","model","round","age","incidence","lb","ub","irr","year","py","newinf","newinf.lb","newinf.ub"
"Female","tensorproductgam",7,21,0.0159719683562225,0.0111111111782268,0.0229593394468117,1,2000,1,1.80754079657359,1.25743967819003,2.59829858079612
"Female","tensorproductgam",7,31,0.0112616897345494,0.00718061350960762,0.0176622311599927,1,2000,1,0.521093038422335,0.332256330946379,0.817254418956557
"Female","tensorproductgam",7,32,0.0106099436714073,0.00662311630705477,0.0169966673528788,1,2000,1,0.474349239245626,0.29610620743946,0.759886807907962
"Female","tensorproductgam",7,15,0.0068144152632392,0.0027377699247574,0.0169613432304696,1,2000,1,0.0734059619810034,0.0294916918394473,0.18271027934549
"Male","tensorproductgam",7,47,0.00429427506247649,0.00207907246453319,0.00886972369976915,1,2000,1,0.0571159158207004,0.0276526599115736,0.117971574903432
"Female","tensorproductgam",7,22,0.0170316542126437,0.0120093664025004,0.0241542505655142,1,2000,1,1.65947587583879,1.17013025160313,2.3534646495277
"Female","tensorproductgam",7,23,0.0176214557709192,0.0124613711462031,0.0249182613890026,1,2000,1,2.08971189876677,1.47778230684802,2.95503322756761
"Male","tensorproductgam",7,23,0.014378983064638,0.0103409203755154,0.0199938831811034,1,2000,1,0.893232773198349,0.642385413691804,1.24203440817603
"Female","tensorproductgam",7,34,0.00965137809329128,0.00587700272786611,0.0158497627809481,1,2000,1,0.31985052603392,0.194766218444741,0.525267471028099
"Male","tensorproductgam",7,48,0.00379111681762241,0.00169211489047573,0.00849384802755249,1,2000,1,0.059671815426451,0.026633726229555,0.133692354032578
"Male","tensorproductgam",7,49,0.003353400097416,0.00134654134470854,0.00835124168859715,1,2000,1,0.0689042237675758,0.027668152750274,0.171597724498074
"Female","tensorproductgam",7,42,0.00704082088299097,0.00356480625915271,0.0139062701034823,1,2000,1,0.251629221516438,0.127401256011851,0.496990901840707
"Female","tensorproductgam",7,25,0.0172368835724639,0.01215980296812,0.0244337968361514,1,2000,1,1.73070075026136,1.22092720714174,2.45331995997326
"Female","tensorproductgam",7,35,0.00924675916263854,0.00558424969467243,0.0153113774789498,1,2000,1,0.454895764553641,0.274718037924067,0.75324561201925
"Female","tensorproductgam",7,45,0.00721477115068857,0.00311200089481053,0.0167265127859088,1,2000,1,0.214240678714218,0.0924100252022314,0.496689274951314
"Female","tensorproductgam",7,16,0.00810312686611483,0.0037752548060588,0.0173923796886438,1,2000,1,0.556171360954039,0.259120786102258,1.19375441622579
"Female","tensorproductgam",7,26,0.0163982501632126,0.0115176648190026,0.0233469729012819,1,2000,1,1.39016412526657,0.976411768259399,1.97924314106051
"Male","tensorproductgam",7,24,0.0162310104623008,0.0117988244960567,0.0223281311384336,1,2000,1,1.08138544587894,0.786092592211107,1.48760399747508
"Female","tensorproductgam",7,17,0.0095891732443428,0.00508158141657283,0.018095202255371,1,2000,1,0.727005852088856,0.3852615166687,1.37189282111961
"Female","tensorproductgam",7,43,0.00701758652793141,0.00341345073219018,0.0144271953928001,1,2000,1,0.232766764643091,0.113220959946568,0.478536542597601
"Female","tensorproductgam",7,44,0.00708057578953001,0.00327149665633777,0.0153246537526347,1,2000,1,0.301261894728299,0.139194510528787,0.652028078338008
"Female","tensorproductgam",8,37,0.00913851875857636,0.00628536614771073,0.0132868194371252,1.08327894425843,2001,1,0.578907028794555,0.398165472718682,0.841693644854344
"Female","tensorproductgam",8,36,0.00970962143078727,0.00676594463165819,0.0139340112078479,1.09787292950456,2001,1,0.723672808496856,0.504276112990463,1.03852298426761
"Female","tensorproductgam",8,28,0.0148063123167898,0.0114803734592816,0.0190957972926466,1.04542316094623,2001,1,1.84329774597573,1.4292381565163,2.37731309147317
"Female","tensorproductgam",8,27,0.0158100867575084,0.0123916509768722,0.0201715529065873,1.03191894552583,2001,1,1.85461594282583,1.45361336798017,2.36624151314951
"Female","tensorproductgam",8,41,0.00706056005525737,0.00450280920486155,0.0110712015601445,0.98618549429821,2001,1,0.572409544830627,0.365049082118458,0.897557898548235
"Female","tensorproductgam",8,40,0.00748620760927064,0.00487210016401008,0.0115029048013196,1.01523477119223,2001,1,0.478134644716984,0.311174896894354,0.734676031904503
"Female","tensorproductgam",8,32,0.0117146288838204,0.00848209866673063,0.0161790772870761,1.10411791491317,2001,1,0.867609978791738,0.62820201282822,1.19825638875315
"Female","tensorproductgam",8,38,0.00855369687989124,0.00578481438997661,0.0126478959186376,1.06430523567685,2001,1,0.605660156230891,0.409604365971464,0.895557409344563
"Female","tensorproductgam",8,39,0.0079915185005629,0.00530382501386712,0.0120411906082615,1.04145050803247,2001,1,0.578264467381544,0.38378357586393,0.87129782321539
"Female","tensorproductgam",8,31,0.0123006119642558,0.00904681305875067,0.0167246801401341,1.09225278392452,2001,1,1.12225110257067,0.825389497647478,1.52588267819103
"Female","tensorproductgam",8,23,0.018167496556547,0.0144782172623426,0.0227968627042653,1.03098726874365,2001,1,2.60391866090096,2.0751400716466,3.26743841788379
"Female","tensorproductgam",8,29,0.013850750538147,0.0105725682801138,0.0181453820289648,1.06110150507323,2001,1,1.5280658182538,1.16640467644705,2.00186538348609
"Female","tensorproductgam",8,30,0.0130078734582363,0.00974449116521357,0.0173641464738072,1.07729703581205,2001,1,1.32742788249768,0.994406142940031,1.77197696911103
"Female","tensorproductgam",8,22,0.0178889580924604,0.0142636156649172,0.0224357434434323,1.05033591388794,2001,1,3.22170345791922,2.56879912583965,4.04055461805562
"Female","tensorproductgam",8,46,0.00605326319671473,0.00319306302933563,0.0114755001677261,0.817723354081037,2001,1,0.273415446014051,0.144225143355834,0.518328527049012
"Female","tensorproductgam",8,42,0.00672280900828705,0.00419730259488742,0.0107679062779408,0.954833125286261,2001,1,0.421123933547401,0.262923515582377,0.674513145062795
"Male","tensorproductgam",8,15,0.00238389063509292,0.00113908469976828,0.00498903598761335,0.980051688621327,2001,1,0.00562604716618781,0.00268827107789257,0.0117742615231286
"Male","tensorproductgam",8,43,0.00725639911448203,0.00457148649996217,0.0115182070665836,1.05220550514193,2001,1,0.208452003881814,0.131323471408008,0.330879449472839
"Male","tensorproductgam",8,44,0.00653605848130906,0.00399559385292497,0.0106917925203581,1.05487558115992,2001,1,0.183425560324348,0.112130887965142,0.300050564040483
"Female","tensorproductgam",8,33,0.0112093632851181,0.00801889830910836,0.0156692129534842,1.11102732429722,2001,1,0.665048821810074,0.475759303810549,0.92965062763563
"Male","tensorproductgam",8,37,0.0108030160186615,0.00783042981271295,0.0149040548080747,1.03632831391375,2001,1,0.486154244517311,0.352382768225958,0.670708021995688
"Male","tensorproductgam",8,34,0.0129289998779903,0.00983530761827087,0.0169958118579377,1.02847982683141,2001,1,0.873886790496187,0.664780376609413,1.1487675471089
"Male","tensorproductgam",8,35,0.0121316094817104,0.00909517084903277,0.0161817684416975,1.03108945567137,2001,1,0.757249098153393,0.567716091864347,1.01005802877813
"Female","tensorproductgam",8,24,0.0180384633135648,0.0143478849569303,0.022678336193214,1.02014353721025,2001,1,2.80935397617979,2.23457436217479,3.53197901894654
"Male","tensorproductgam",8,28,0.018403003741079,0.01470308603192,0.0230339770820169,1.01295536913611,2001,1,1.85445443034519,1.48161699118591,2.32111352305313
"Female","tensorproductgam",8,49,0.00582466955552096,0.00223754913939158,0.0151624716676559,0.715875492602392,2001,1,0.32688867389288,0.125574414818533,0.850939303789413
"Male","tensorproductgam",8,26,0.018525260622025,0.0147549874146561,0.0232589341806599,1.00782933122824,2001,1,1.84589565203301,1.47021775672802,2.31756877006942
